"County","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
"ALACHUA","BROOKDALE GAINESVILLE SOUTHWEST","ALF","6/8/2020 14:23","0","0","1"
"ALACHUA","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","6/8/2020 14:03","0","6","0"
"ALACHUA","PALM GARDEN OF GAINESVILLE","NH","6/8/2020 15:10","0","5","0"
"ALACHUA","PARKLANDS CARE CENTER","NH","6/8/2020 13:49","0","43","15"
"ALACHUA","PLAZA HEALTH AND REHAB","NH","6/8/2020 13:52","0","0","1"
"ALACHUA","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","6/8/2020 17:58","0","1","0"
"ALACHUA","TERRACE HEALTH & REHABILITATION CENTER","NH","6/8/2020 11:48","1","0","1"
"BAKER","MACCLENNY NURSING AND REHAB CENTER","NH","6/8/2020 13:51","0","2","0"
"BAKER","W FRANK WELLS NURSING HOME","NH","6/8/2020 13:16","0","1","0"
"BAY","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","6/8/2020 13:45","0","0","2"
"BAY","PRUITTHEALTH - PANAMA CITY","NH","6/8/2020 11:07","0","0","2"
"BRADFORD","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","6/8/2020 15:12","0","1","1"
"BRADFORD","WINDSOR HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:59","1","2","1"
"BREVARD","BROOKSHIRE (THE)","ALF","6/8/2020 12:40","0","0","1"
"BREVARD","DISCOVERY VILLAGE AT MELBOURNE","ALF","6/8/2020 12:17","0","1","0"
"BREVARD","GREENWOOD PLACE","ALF","6/8/2020 12:49","0","4","0"
"BREVARD","ISLAND HEALTH AND REHABILITATION CENTER","NH","6/8/2020 16:58","0","0","2"
"BREVARD","WAVE CREST HEALTH AND REHABILITATION CENTER","NH","6/8/2020 14:03","0","0","1"
"BROWARD","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","NH","6/8/2020 13:57","0","37","18"
"BROWARD","ATRIA WILLOW WOOD","ALF","6/8/2020 13:16","2","11","0"
"BROWARD","AVALON PARK RETIREMENT RESIDENCE, INC.","ALF","6/8/2020 14:10","0","3","0"
"BROWARD","BARC HOUSING INC.","ICF","6/8/2020 12:28","0","0","1"
"BROWARD","BRIGHT HORIZONS OF RAMBLEWOOD, INC.","ALF","6/8/2020 13:24","0","4","0"
"BROWARD","BROWARD NURSING & REHABILITATION CENTER","NH","6/8/2020 13:55","0","2","10"
"BROWARD","COURT AT PALM AIRE, THE","NH","6/8/2020 12:47","4","6","12"
"BROWARD","COVENANT VILLAGE CARE CENTER","NH","6/8/2020 13:46","0","0","10"
"BROWARD","EMBASSY RETIREMENT HOME OF MARGATE","ALF","6/8/2020 14:01","0","0","1"
"BROWARD","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","ALF","6/8/2020 14:18","1","0","4"
