"State","County","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
"Florida","ALACHUA","BROOKDALE GAINESVILLE SOUTHWEST","ALF","6/12/2020","0","0","1"
"Florida","ALACHUA","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","6/13/2020","0","6","0"
"Florida","ALACHUA","PALM GARDEN OF GAINESVILLE","NH","6/13/2020","0","1","0"
"Florida","ALACHUA","PARKLANDS CARE CENTER","NH","6/12/2020","0","43","15"
"Florida","ALACHUA","PLAZA HEALTH AND REHAB","NH","6/13/2020","0","0","1"
"Florida","ALACHUA","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","6/12/2020","0","1","0"
"Florida","ALACHUA","TERRACE HEALTH & REHABILITATION CENTER","NH","6/12/2020","1","0","1"
"Florida","BAKER","MACCLENNY NURSING AND REHAB CENTER","NH","6/13/2020","0","2","0"
"Florida","BAKER","W FRANK WELLS NURSING HOME","NH","6/13/2020","0","1","0"
"Florida","BAY","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","6/13/2020","0","0","2"
"Florida","BAY","PRUITTHEALTH - PANAMA CITY","NH","6/13/2020","0","0","2"
"Florida","BRADFORD","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","6/13/2020","0","1","1"
"Florida","BRADFORD","WINDSOR HEALTH AND REHABILITATION CENTER","NH","6/13/2020","1","2","1"
"Florida","BREVARD","BROOKSHIRE (THE)","ALF","6/13/2020","0","0","1"
"Florida","BREVARD","DISCOVERY VILLAGE AT MELBOURNE","ALF","6/13/2020","0","1","0"
"Florida","BREVARD","ELITE GARDEN ROCKLEDGE LLC","ALF","6/13/2020","0","0","1"
"Florida","BREVARD","GLENVILLE PINES ALF","ALF","6/13/2020","0","1","0"
"Florida","BREVARD","GREENWOOD PLACE","ALF","6/12/2020","0","4","0"
"Florida","BREVARD","ISLAND HEALTH AND REHABILITATION CENTER","NH","6/12/2020","0","0","2"
"Florida","BREVARD","WAVE CREST HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","BROWARD","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","NH","6/13/2020","0","37","18"
"Florida","BROWARD","ARTIS SENIOR LIVING OF DAVIE LLC","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","ATRIA WILLOW WOOD","ALF","6/13/2020","2","11","0"
"Florida","BROWARD","AVALON PARK RETIREMENT RESIDENCE, INC.","ALF","6/13/2020","0","3","0"
"Florida","BROWARD","BARC HOUSING INC.","ICF","6/13/2020","0","0","1"
"Florida","BROWARD","BRIGHT HORIZONS OF RAMBLEWOOD, INC.","ALF","6/13/2020","0","4","0"
"Florida","BROWARD","BROWARD NURSING & REHABILITATION CENTER","NH","6/13/2020","0","2","7"
"Florida","BROWARD","COURT AT PALM AIRE, THE","NH","6/13/2020","3","6","0"
"Florida","BROWARD","COVENANT VILLAGE CARE CENTER","NH","6/12/2020","0","2","10"
"Florida","BROWARD","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","BROWARD","EMBASSY RETIREMENT HOME OF MARGATE","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","EMERALD PARK OF HOLLYWOOD","ALF","6/12/2020","0","0","1"
"Florida","BROWARD","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","ALF","6/13/2020","1","0","4"
"Florida","BROWARD","FIVE STAR PREMIER RESIDENCES OF PLANTATION","ALF","6/13/2020","0","1","1"
"Florida","BROWARD","FLAMINGO ALF","ALF","6/13/2020","0","1","0"
"Florida","BROWARD","FORUM AT DEER CREEK","NH","6/13/2020","0","2","3"
"Florida","BROWARD","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","7"
"Florida","BROWARD","GLADES WEST REHABILITATION AND NURSING CENTER","NH","6/12/2020","0","0","1"
"Florida","BROWARD","GOLFCREST HEALTHCARE CENTER","NH","6/13/2020","2","0","0"
"Florida","BROWARD","GOOD HOPE MANOR","ALF","6/12/2020","0","6","0"
"Florida","BROWARD","HARBORCHASE OF TAMARAC","ALF","6/12/2020","0","2","3"
"Florida","BROWARD","HILLCREST HEALTH CARE AND REHABILITATION CENTER","NH","6/13/2020","1","5","5"
"Florida","BROWARD","JOHN KNOX VILLAGE OF FLORIDA, INC.","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","JOHN KNOX VILLAGE OF POMPANO BEACH","NH","6/13/2020","0","0","1"
"Florida","BROWARD","LIFE CARE CENTER OF INVERRARY","NH","6/13/2020","0","2","6"
"Florida","BROWARD","LINCOLN MANOR","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","MAGGYS HOME CARE III INC","ALF","6/13/2020","3","1","0"
"Florida","BROWARD","MANOR PINES CONVALESCENT CENTER","NH","6/13/2020","3","1","3"
"Florida","BROWARD","MARGATE HEALTH AND REHABILITATION CENTER","NH","6/13/2020","10","10","9"
"Florida","BROWARD","MEMORIAL MANOR","NH","6/13/2020","0","3","1"
"Florida","BROWARD","NEW HORIZON OF TAMARAC","ALF","6/13/2020","1","0","0"
"Florida","BROWARD","NORTH LAKE RETIREMENT HOME INC","ALF","6/12/2020","0","0","1"
"Florida","BROWARD","NSPIRE HEALTHCARE LAUDERHILL","NH","6/12/2020","56","12","17"
"Florida","BROWARD","NSPIRE HEALTHCARE PLANTATION","NH","6/13/2020","18","8","4"
"Florida","BROWARD","NSPIRE HEALTHCARE TAMARAC","NH","6/13/2020","0","2","4"
"Florida","BROWARD","OAKMONTE VILLAGE OF DAVIE","ALF","6/13/2020","0","2","1"
"Florida","BROWARD","PACIFICA SENIOR LIVING FOREST TRACE","ALF","6/13/2020","4","1","6"
"Florida","BROWARD","PALMS CARE CENTER","NH","6/13/2020","7","29","14"
"Florida","BROWARD","PARK SUMMIT AT CORAL SPRINGS","NH","6/12/2020","0","4","4"
