"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","6/17/2020","0","0","1"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","6/17/2020","0","6","0"
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","NH","6/17/2020","0","1","0"
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","6/17/2020","0","43","15"
1,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","6/17/2020","0","0","2"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","6/17/2020","0","1","0"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","6/17/2020","1","0","1"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","NH","6/17/2020","0","2","0"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","NH","6/17/2020","0","1","0"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","6/17/2020","0","0","2"
3,"Bay","Florida","PRUITTHEALTH - PANAMA CITY","NH","6/17/2020","0","0","2"
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","6/17/2020","0","1","1"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","NH","6/17/2020","1","2","1"
5,"Brevard","Florida","ADDINGTON PLACE OF TITUSVILLE","ALF","6/17/2020","1","0","0"
5,"Brevard","Florida","BROOKSHIRE (THE)","ALF","6/17/2020","0","0","1"
5,"Brevard","Florida","DISCOVERY VILLAGE AT MELBOURNE","ALF","6/17/2020","0","1","0"
5,"Brevard","Florida","ELITE GARDEN ROCKLEDGE LLC","ALF","6/17/2020","0","0","1"
5,"Brevard","Florida","GREENWOOD PLACE","ALF","6/17/2020","0","4","0"
5,"Brevard","Florida","ISLAND HEALTH AND REHABILITATION CENTER","NH","6/17/2020","0","0","2"
5,"Brevard","Florida","LIFE CARE CENTER OF PALM BAY","NH","6/17/2020","1","0","0"
5,"Brevard","Florida","WAVE CREST HEALTH AND REHABILITATION CENTER","NH","6/17/2020","6","2","5"
6,"Broward","Florida","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","NH","6/17/2020","0","37","18"
6,"Broward","Florida","ARTIS SENIOR LIVING OF DAVIE LLC","ALF","6/17/2020","0","0","1"
6,"Broward","Florida","ATRIA WILLOW WOOD","ALF","6/17/2020","0","11","0"
6,"Broward","Florida","AVALON PARK RETIREMENT RESIDENCE, INC.","ALF","6/17/2020","0","3","0"
6,"Broward","Florida","BARC HOUSING INC.","ICF","6/17/2020","0","0","1"
6,"Broward","Florida","BRIGHT HORIZONS OF RAMBLEWOOD, INC.","ALF","6/17/2020","0","4","0"
6,"Broward","Florida","BROWARD NURSING & REHABILITATION CENTER","NH","6/17/2020","0","3","7"
6,"Broward","Florida","COURT AT PALM AIRE, THE","NH","6/17/2020","3","6","0"
6,"Broward","Florida","COVENANT VILLAGE CARE CENTER","NH","6/17/2020","0","2","10"
6,"Broward","Florida","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","NH","6/17/2020","0","0","2"
6,"Broward","Florida","EMBASSY RETIREMENT HOME OF MARGATE","ALF","6/17/2020","0","0","1"
6,"Broward","Florida","EMERALD PARK OF HOLLYWOOD","ALF","6/17/2020","0","0","1"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","ALF","6/17/2020","0","0","4"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF PLANTATION","ALF","6/17/2020","0","1","1"
6,"Broward","Florida","FLAMINGO ALF","ALF","6/17/2020","0","1","0"
6,"Broward","Florida","FORUM AT DEER CREEK","NH","6/17/2020","0","2","3"
6,"Broward","Florida","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","NH","6/17/2020","0","0","7"
6,"Broward","Florida","GLADES WEST REHABILITATION AND NURSING CENTER","NH","6/17/2020","0","0","1"
6,"Broward","Florida","GOOD HOPE MANOR","ALF","6/17/2020","0","6","0"
6,"Broward","Florida","HARBORCHASE OF TAMARAC","ALF","6/17/2020","0","1","2"
