"X","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
NA,"Alachua","Florida","19TH STREET GROUP HOME","ICF","9/8/2020",0,0,1
NA,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY VII","ICF","9/8/2020",0,0,3
NA,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","9/8/2020",1,0,11
NA,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","9/8/2020",0,0,3
NA,"Alachua","Florida","HUNTER'S CROSSING PLACE-MEMORY CARE","ALF","9/8/2020",1,0,0
NA,"Alachua","Florida","NORTH FLORIDA REHABILITATION AND SPECIALTY CARE","NH","9/8/2020",0,24,0
NA,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","ALF","9/4/2020",0,0,1
NA,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","9/8/2020",0,5,3
NA,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC","NH","9/8/2020",5,0,1
NA,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","NH","9/8/2020",11,3,2
NA,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,0,12
NA,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY I","ICF","9/8/2020",0,0,4
NA,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY II","ICF","9/8/2020",0,0,8
NA,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","9/8/2020",0,0,24
NA,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","9/8/2020",0,1,3
NA,"Alachua","Florida","SPLENDID CARE ASSISTED LIVING LLC","ALF","9/2/2020",0,2,0
NA,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","9/8/2020",12,0,25
NA,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","9/8/2020",30,0,12
NA,"Alachua","Florida","WINDSOR OF GAINESVILLE ASSISTED LIVING & MEMORY CARE THE","ALF","9/8/2020",1,0,0
NA,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","9/7/2020",0,1,0
NA,"Alachua","Florida","PARKLANDS CARE CENTER","NH","9/8/2020",0,10,0
NA,"Alachua","Florida","PLANTATION OAKS SENIOR LIVING RESIDENCE","ALF","9/1/2020",1,3,1
NA,"Baker","Florida","THE CLAIR WINSTON HOUSE, LLC","ALF","9/8/2020",0,0,2
NA,"Bay","Florida","BROOKDALE PANAMA CITY","ALF","9/8/2020",0,0,2
